Id Lon Lat utmX utmY heading curvature mode SpeedMode EventMode OppositeSideMode LaneNum LaneSeq LaneWidth
44 121.211659335 31.2812966338 329764.536573 3462157.10682 -1.58821582794 0.0 0 3 0 3 2 1 3.0
45 121.211659341 31.2812910502 329764.527048 3462156.48783 -1.58767294884 0.0 0 3 0 3 2 1 3.0
46 121.211659378 31.2812852789 329764.520212 3462155.84799 -1.58518409729 0.0 0 3 0 3 2 1 3.0
47 121.211659431 31.2812798427 329764.515524 3462155.24528 -1.58236098289 0.0 0 3 0 3 2 1 3.0
48 121.211659502 31.2812741501 329764.511999 3462154.61412 -1.57963073254 0.0 0 3 0 3 2 1 3.0
49 121.211659587 31.2812684912 329764.509992 3462153.98667 -1.57709538937 0.0 0 3 0 3 2 1 3.0
50 121.211659688 31.2812628889 329764.509531 3462153.36547 -1.57465660572 0.0 0 3 0 3 2 1 3.0
51 121.211659809 31.2812571079 329764.51061 3462152.72443 -1.57215642929 0.0 0 3 0 3 2 1 3.0
52 121.211659937 31.28125164 329764.512956 3462152.11809 -1.56987333298 0.0 0 3 0 3 2 1 3.0
53 121.211660091 31.2812454727 329764.516542 3462151.43417 -1.56769883633 0.0 0 3 0 3 2 1 3.0
54 121.211660232 31.2812398535 329764.519907 3462150.81105 -1.56647443771 0.0 0 3 0 3 2 1 3.0
55 121.211660377 31.2812339036 329764.523043 3462150.15125 -1.56604766846 0.0 0 3 0 3 2 1 3.0
56 121.211660515 31.2812277243 329764.525061 3462149.46602 -1.56665468216 0.0 0 3 0 3 2 1 3.0
57 121.211660629 31.2812219968 329764.525617 3462148.83092 -1.56794011593 0.0 0 3 0 3 2 1 3.0
58 121.211660735 31.281216039 329764.524977 3462148.17031 -1.56961524487 0.0 0 3 0 3 2 1 3.0
59 121.211660825 31.2812103544 329764.52329 3462147.54 -1.57129275799 0.0 0 3 0 3 2 1 3.0
60 121.211660907 31.281204366 329764.520353 3462146.87603 -1.57306802273 0.0 0 3 0 3 2 1 3.0
61 121.211660978 31.2811982514 329764.516153 3462146.19809 -1.57488203049 0.0 0 3 0 3 2 1 3.0
62 121.211661035 31.2811922781 329764.510851 3462145.53583 -1.57665395737 0.0 0 3 0 3 2 1 3.0
63 121.211661079 31.281186375 329764.504465 3462144.88138 -1.57840442657 0.0 0 3 0 3 2 1 3.0
64 121.211661112 31.2811804265 329764.496878 3462144.22191 -1.58016777039 0.0 0 3 0 3 2 1 3.0
65 121.211661133 31.2811744412 329764.488073 3462143.55837 -1.58194100857 0.0 0 3 0 3 2 1 3.0
66 121.211661143 31.2811681751 329764.477823 3462142.86372 -1.58368492126 0.0 0 3 0 3 2 1 3.0
67 121.211661147 31.2811620972 329764.467218 3462142.18996 -1.5851367712 0.0 0 3 0 3 2 1 3.0
68 121.211661145 31.281156869 329764.457704 3462141.61038 -1.58621060848 0.0 0 3 0 3 2 1 3.0
69 121.211661139 31.2811520388 329764.448389 3462141.07494 -1.58711874485 0.0 0 3 0 3 2 1 3.0
70 121.211661122 31.2811460839 329764.436125 3462140.41484 -1.5882089138 0.0 0 3 0 3 2 1 3.0
71 121.211661097 31.281140294 329764.423364 3462139.77304 -1.58925831318 0.0 0 3 0 3 2 1 3.0
72 121.211661069 31.2811352866 329764.411642 3462139.21799 -1.59017527103 0.0 0 3 0 3 2 1 3.0
73 121.21166103 31.2811302614 329764.398863 3462138.66098 -1.59309792519 0.0 1 3 0 3 2 1 3.0
